Player,PTS,AST,TRB,STL,BLK,eFG%,3P%,2P%,FT%,TOV,Trp-Dbl,,,,,,,,,,,,,,,,,,,,
Luka Dončić,2370,686,647,99,38,0.573,0.382,0.573,0.786,282,21,,,,,,,,,,,,,,,,,,,,
Shai Gilgeous-Alexander,2254,465,415,150,67,0.567,0.353,0.576,0.874,162,0,,,,,,,,,,,,,,,,,,,,
Giannis Antetokounmpo,2222,476,841,87,79,0.624,0.274,0.645,0.657,250,10,,,,,,,,,,,,,,,,,,,,
Jalen Brunson,2212,519,278,70,13,0.543,0.401,0.516,0.847,186,0,,,,,,,,,,,,,,,,,,,,
Nikola Jokić,2085,708,976,108,68,0.612,0.359,0.626,0.817,237,25,,,,,,,,,,,,,,,,,,,,
Anthony Edwards,2049,405,430,101,42,0.522,0.357,0.515,0.836,241,0,,,,,,,,,,,,,,,,,,,,
Kevin Durant,2032,378,495,69,91,0.581,0.413,0.567,0.856,244,1,,,,,,,,,,,,,,,,,,,,
Jayson Tatum,1987,364,601,75,43,0.552,0.376,0.542,0.833,188,0,,,,,,,,,,,,,,,,,,,,
De'Aaron Fox,1966,418,340,150,31,0.534,0.369,0.522,0.738,194,0,,,,,,,,,,,,,,,,,,,,
Stephen Curry,1956,379,330,54,28,0.573,0.408,0.515,0.923,210,0,,,,,,,,,,,,,,,,,,,,
DeMar DeRozan,1897,421,340,90,45,0.507,0.333,0.509,0.853,135,0,,,,,,,,,,,,,,,,,,,,
Anthony Davis,1876,266,961,91,178,0.567,0.271,0.582,0.816,159,2,,,,,,,,,,,,,,,,,,,,
Devin Booker,1841,472,308,61,28,0.55,0.364,0.552,0.886,178,0,,,,,,,,,,,,,,,,,,,,
LeBron James,1822,589,518,89,38,0.599,0.41,0.592,0.75,245,5,,,,,,,,,,,,,,,,,,,,
Tyrese Maxey,1816,433,258,69,33,0.524,0.373,0.501,0.868,116,0,,,,,,,,,,,,,,,,,,,,
Paolo Banchero,1804,431,554,71,47,0.497,0.339,0.493,0.725,247,2,,,,,,,,,,,,,,,,,,,,
Damian Lillard,1775,508,320,72,18,0.51,0.354,0.49,0.92,193,0,,,,,,,,,,,,,,,,,,,,
Dejounte Murray,1753,502,416,111,24,0.528,0.363,0.518,0.794,201,1,,,,,,,,,,,,,,,,,,,,
Pascal Siakam,1737,342,565,63,25,0.569,0.346,0.581,0.732,141,1,,,,,,,,,,,,,,,,,,,,
Paul George,1671,262,388,113,37,0.569,0.413,0.523,0.907,153,0,,,,,,,,,,,,,,,,,,,,
Kawhi Leonard,1613,244,416,111,59,0.585,0.417,0.569,0.885,119,1,,,,,,,,,,,,,,,,,,,,
Jaylen Brown,1610,249,387,83,37,0.557,0.354,0.57,0.703,166,1,,,,,,,,,,,,,,,,,,,,
Jalen Green,1610,291,423,66,28,0.498,0.332,0.498,0.804,191,1,,,,,,,,,,,,,,,,,,,,
Mikal Bridges,1606,299,372,81,30,0.521,0.372,0.49,0.814,164,0,,,,,,,,,,,,,,,,,,,,
Zion Williamson,1601,352,406,77,47,0.573,0.333,0.574,0.702,193,0,,,,,,,,,,,,,,,,,,,,
Domantas Sabonis,1593,673,1120,74,48,0.609,0.379,0.613,0.704,272,26,,,,,,,,,,,,,,,,,,,,
Kyle Kuzma,1553,296,464,37,49,0.521,0.336,0.53,0.775,192,0,,,,,,,,,,,,,,,,,,,,
Victor Wembanyama,1522,274,755,88,254,0.519,0.325,0.534,0.796,260,2,,,,,,,,,,,,,,,,,,,,
Coby White,1509,405,358,53,18,0.534,0.376,0.508,0.838,166,0,,,,,,,,,,,,,,,,,,,,
Kyrie Irving,1487,299,290,74,28,0.573,0.411,0.548,0.905,106,0,,,,,,,,,,,,,,,,,,,,
Jaren Jackson Jr.,1486,154,365,80,106,0.494,0.32,0.501,0.808,160,0,,,,,,,,,,,,,,,,,,,,
