Accession,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7
P02768,14954501605,9723726916,70570828302,39930781566,30594405406,15594069349,38125841030
P01023,31376814614,28521782975,15178663430,18816826334,35122816973,34454516240,20080034423
P01871,11325356925,4977579230,903835699.7,4927202542,4923363318,2807440628,3480068799
P00738,5049894108,2525990334,4515686566,9248765912,6655124026,18679572644,2490419951
P02671,1917533573,2252616191,2305631601,1498649076,866651836.4,1304542464,3200935722
P02675,1611911078,1624049910,2343213796,1128949671,648246098.3,979154346.5,2890624881
P02679,1394679286,1579711820,2203760652,1055030623,606155614.9,963175217.9,2540080501
P02647,1246158232,589573739.2,7115532594,1898931480,1264522923,952718928.3,1918008921
P01024,2411263212,1391340172,2095324688,2466078966,1329307124,1435047995,2475937717
P0C0L5,2734858352,3082958293,490395493.3,772339831.9,1096346739,553336801.2,1514809199
P01857,2207846573,1711883228,1664003497,1450332332,1210484164,1005929042,1255183053
P01876,1853630975,358139574.4,791293373.3,2447298179,1282909516,691655997.9,2048132762
P01834,2558231271,789789854.9,989529324.2,1432640298,968155802.2,674802511,742378945
P02787,826866328.7,443331314.1,2696403897,2318948206,1350848582,588815835.7,1800526983
Q06033,1052553306,558226014.5,1075439782,1992349145,1496377541,3770021344,531372035.4
Q969T7,452457631.5,227664387.4,2578758243,1326743983,1189442074,443387692.1,1508539143
B9A064,1339263504,920897091.3,493867065.5,915879196.6,872714290.4,623259241.8,1040392249
P68871,363624154,892778937.8,149143980.7,1415481631,2024865257,1838035562,547304036.8
P60709,405609205.4,782204088.3,355856019.3,275997646,1050943836,2647528817,881126864
P69905,239898298.1,707670314,117783611.5,1033428489,1332839874,1330143391,410867765.8
P01009,480208806.1,134717807.3,2143699413,658890337.2,600691809.2,531443764.2,868903657.9
P04003,1013169560,916099591.4,144156385.7,187551475.8,256236900.4,163042934.3,462308386
P00736,1216441673,549199308.5,132287862.7,194303293.3,305903899.6,118365351.7,326163148.8
P09871,1140947177,540119889.3,134044318.9,159295206.3,290233143.4,94450696.23,307482439.3
P02746,1107245101,449592004.4,137191766.7,202726244,324062577.5,146895264.2,338824144.9
P04275,16244200.95,218829164,90796361.05,456121344,1270118843,394502873.5,410816035.9
P01859,404567813.8,421219056.1,754604348.2,353199030,160169330.6,219827498.8,357236904.7
P04114,218482956.6,637399937.3,334753752.3,263124396.2,274971549.7,435762341.2,522185302.7
O75828,674677423.4,193340301.1,59614292,265896089.3,299685888,124753984,191798026.8
Q9Y490,180957789.6,397488855.1,146069047.4,80936752.44,420280827.3,1084610427,360337301.1
O43866,592273653.3,157647023.2,36903485.09,251202074.4,246746176.3,132960779.1,134285533.3
P0DOY3,400913404.4,355758305.3,131283432.8,237981842.9,278951227.7,158858805.9,273171967.4
P00450,364120698,133163259.5,467169425.1,321551063.7,195464510.4,291836699.7,287522335.5
P40926,582874834.9,150277121.5,32386835.58,231869230.9,204178715.3,100681474.1,124613929.8
P11142,155201763.6,148979702.3,597752230,300756294.1,295287610.3,231604605.3,273522655
P02747,511037454.7,269609038.7,83634720.13,118440330.4,168228435.9,87947017.84,226107098.6
Q9Y2H1,114279527.6,65141800.88,778896741.5,313943710.7,265420879.4,92251156.38,300666814.6
Q93008,481728885.4,144874162.3,4133041.172,224428148.5,167004585.9,91079418.88,87321193.5
Q9H0A8,348952224,215451952,251897424,211607776,200813456,156856304,209608752
P01619,439328795.9,111920435.9,55552086.88,162112584.3,224587647.4,101938912.6,97261702.33
P02652,164974290.5,100723161.5,666856129.9,331270925.3,154681868.7,105574216.5,322013216.2
P21333,128613630.7,213353952.6,137655077.7,94341827.7,322521791.2,782712092.2,255819291.8
P02790,83866588.72,48039221.12,556078456.5,280822096.7,177390894,141792307.3,289283204.3
P02751,119471036.1,245054438.3,142783508.1,200004992.2,221588075,106559054,270055600.1
Q92878,182116747,98687039.25,137501922.9,356143659.2,308613257.8,689570603.3,77577050.64
P08514,98807898.63,213671634.2,43012389.06,163554179.3,325518623.4,535179581.8,164630165.1
Q9Y5Y2,59671300,120489824,28426092.5,279687104,391199538.1,358571841.2,91633944.38
P06312,374191351.9,74145268.09,72967448.16,119082835,114535060.5,75931281.88,81346677.06
Q99728,305918855.9,75900221.5,41488168,128778147.9,149078016,75474320,76975736
P48643,218230198.9,30938486.05,90655063.89,290244429.4,140062538.9,84520025.69,293400855.4
P07195,159201902.3,96205613.77,190096424,175101559.6,222628659.2,171313805.8,139135702.4
A0A0C4DH55,240809291.9,45815467.08,77375639.91,114532712,215492084,60172822.63,86772301.56
P00739,314264907,91241391.2,61428602.95,87828308.28,50972365.12,66197292.23,122777149.5
P07225,266315603.5,224470041.9,40499998.38,44564154.35,65871859.59,38719635,133092562.3
P19823,87174479.31,168930612.6,236485554.9,113566401.7,54599567.8,51409454.73,194483498.6
Q14204,204297511.4,114956819.9,113312615.7,192551793.3,106430810.6,107868640.6,104744291
P01591,323448463.9,53251016.16,15693401.73,108990627.4,85351455.38,32162955.06,46528309.38
Q9BR76,147994527.7,33575117.77,104099686.1,213556729.1,156011734.3,500226973.9,52497279.78
P07737,184288549.5,116041347.8,34003344.42,98611407.8,137550393.6,164197163.1,133441353.1
P08648,139608536.1,39962221.13,125648264,216852911.6,136722234.3,399054240.1,62234650.17
P35221,247877166.9,98406885.51,77485416.32,120773172.2,97419722.66,58969020.5,73844962.56
